Ward_Code,Ward_Name,population,high_edu_rate,middle_edu_rate,low_edu_rate,mean_income,health,employemnt_state,X,Y,satisfaction,comfort,assets,own_house_rate,rent_rate,mean_house_price
E09000001,City of London,74,68.4,24.9,6.7,72392.86292,1,0,,,0,0,0,0.425997719,0.574002281,559837
E05000026,Abbey,129,34.5,49.1,16.4,13948.86159,1,0,,,0,0,0,0.337926509,0.662073491,172656
E05000027,Alibon,105,16.7,52.1,31.2,14023.02732,1,0,,,0,0,0,0.465625787,0.534374213,162656
E05000028,Becontree,116,20.6,51.4,28,13892.38185,1,0,,,0,0,0,0.489361702,0.510638298,182533
E05000029,Chadwell Heath,101,19.5,51.4,29.1,15249.59596,1,0,,,0,0,0,0.544901065,0.455098935,190375
E05000030,Eastbrook,106,18.5,51.6,29.9,15718.56535,1,0,,,0,0,0,0.680730641,0.319269359,192068
E05000031,Eastbury,117,20,51.1,28.9,13556.36767,1,0,,,0,0,0,0.447799625,0.552200375,176951
E05000032,Gascoigne,126,25.2,49.3,25.5,12478.89889,1,0,,,0,0,0,0.265446717,0.734553283,151068
E05000033,Goresbrook,114,18.8,51.2,30,14017.41152,1,0,,,0,0,0,0.459132907,0.540867093,156383
E05000034,Heath,109,17.6,50.3,32.1,14291.73613,1,0,,,0,0,0,0.424368775,0.575631225,171274
E05000035,Longbridge,116,25,52.3,22.7,14956.85366,1,0,,,0,0,0,0.703763441,0.296236559,249809
E05000036,Mayesbrook,104,16.2,51.7,32.1,13523.29209,1,0,,,0,0,0,0.445574771,0.554425229,174293
E05000037,Parsloes,99,16,52.2,31.8,13830.18251,1,0,,,0,0,0,0.486450934,0.513549066,160310
E05000038,River,110,19.5,50.6,29.9,13919.53332,1,0,,,0,0,0,0.527336861,0.472663139,157974
E05000039,Thames,108,24.4,51.5,24.1,13525.00786,1,0,,,0,0,0,0.372945638,0.627054362,169534
E05000040,Valence,99,17.8,50.1,32.1,14583.40137,1,0,,,0,0,0,0.478717814,0.521282186,175004
E05000041,Village,109,17.9,51.8,30.3,14847.00451,1,0,,,0,0,0,0.418494235,0.581505765,161101
E05000042,Whalebone,107,22.4,53.6,24,15990.90448,1,0,,,0,0,0,0.64794762,0.35205238,190367
E05000043,Brunswick Park,165,34.4,48.2,17.4,19707.67716,1,0,,,0,0,0,0.768773725,0.231226275,343184
E05000044,Burnt Oak,183,24.7,51.7,23.6,13571.2621,1,0,,,0,0,0,0.409574468,0.590425532,219479
E05000045,Childs Hill,201,43.7,42.6,13.7,20524.51024,1,0,,,0,0,0,0.457064793,0.542935207,783573
E05000046,Colindale,172,30.8,51.2,18,14733.00297,1,0,,,0,0,0,0.383942766,0.616057234,231667
E05000047,Coppetts,173,40.6,44.4,15,20619.41656,1,0,,,0,0,0,0.574553828,0.425446172,343358
E05000048,East Barnet,162,36.5,46.4,17.1,21476.8268,1,0,,,0,0,0,0.686112387,0.313887613,329088
E05000049,East Finchley,161,49.6,36.3,14.1,23018.28349,1,0,,,0,0,0,0.509558934,0.490441066,420146
E05000050,Edgware,168,36,47,17,18599.82189,1,0,,,0,0,0,0.616117706,0.383882294,354105
E05000051,Finchley Church End,158,48.6,39.1,12.3,24909.24832,1,0,,,0,0,0,0.624940353,0.375059647,569412
E05000052,Garden Suburb,160,57.3,34.5,8.2,30284.97186,1,0,,,0,0,0,0.663003663,0.336996337,985132
E05000053,Golders Green,189,37.4,46.2,16.4,18214.35805,1,0,,,0,0,0,0.501462463,0.498537537,507186
E05000054,Hale,175,36.5,45.7,17.8,18294.06857,1,0,,,0,0,0,0.672756669,0.327243331,402147
E05000055,Hendon,185,41.3,45.2,13.5,19840.12416,1,0,,,0,0,0,0.494903087,0.505096913,423566
E05000056,High Barnet,154,44.3,42.6,13.1,25899.80344,1,0,,,0,0,0,0.709149327,0.290850673,408041
E05000057,Mill Hill,185,41.6,44.4,14,21397.14409,1,0,,,0,0,0,0.647563636,0.352436364,480997
E05000058,Oakleigh,159,40.7,44.6,14.7,21823.85168,1,0,,,0,0,0,0.710304601,0.289695399,425173
E05000059,Totteridge,152,47,40,13,24647.70257,1,0,,,0,0,0,0.674750602,0.325249398,596419
E05000060,Underhill,160,31.8,46.6,21.6,19529.97747,1,0,,,0,0,0,0.616909898,0.383090102,326225
E05000061,West Finchley,166,49.5,38.3,12.2,23074.58117,1,0,,,0,0,0,0.542557966,0.457442034,369784
E05000062,West Hendon,175,34.4,47.8,17.8,16942.19663,1,0,,,0,0,0,0.491163239,0.508836761,352576
E05000063,Woodhouse,176,41.3,43,15.7,19981.52058,1,0,,,0,0,0,0.585143354,0.414856646,334244
E05000064,Barnehurst,105,20.1,56.8,23.1,18477.4534,1,0,,,0,0,0,0.802976612,0.197023388,223881
E05000065,Belvedere,119,21.9,54.4,23.7,16358.00067,1,0,,,0,0,0,0.64293107,0.35706893,170898
E05000066,Blackfen and Lamorbey,107,19.3,58.3,22.4,19143.80206,1,0,,,0,0,0,0.873015873,0.126984127,241024
E05000067,Blendon and Penhill,110,19.6,58.9,21.5,18878.80033,1,0,,,0,0,0,0.887916765,0.112083235,261895
E05000068,Brampton,106,20.7,56.4,22.9,19306.10272,1,0,,,0,0,0,0.891612593,0.108387407,256765
E05000069,Christchurch,110,24.9,54.1,21,19715.18112,1,0,,,0,0,0,0.809011432,0.190988568,236545
E05000070,Colyers,112,18.1,56.8,25.1,16214.73562,1,0,,,0,0,0,0.627287102,0.372712898,198440
E05000071,Crayford,113,18.6,56.1,25.3,17502.82065,1,0,,,0,0,0,0.669829222,0.330170778,179605
E05000072,Cray Meadows,113,22.2,52.7,25.1,17801.9984,1,0,,,0,0,0,0.66964096,0.33035904,247739
E05000073,Danson Park,109,21.6,55.4,23,18995.72332,1,0,,,0,0,0,0.789804626,0.210195374,241355
E05000074,East Wickham,109,18.8,54.8,26.4,16807.03548,1,0,,,0,0,0,0.772446556,0.227553444,219631
E05000075,Erith,121,22.6,53.8,23.6,16319.29739,1,0,,,0,0,0,0.582335025,0.417664975,166475
E05000076,Falconwood and Welling,108,19.6,58.3,22.1,18019.8193,1,0,,,0,0,0,0.88705368,0.11294632,223721
E05000077,Lesnes Abbey,114,22.5,53.7,23.8,16672.13201,1,0,,,0,0,0,0.68002687,0.31997313,203619
E05000078,Longlands,105,27.1,52,20.9,21333.26883,1,0,,,0,0,0,0.754464286,0.245535714,257821
