GSS_CODE,NAME,Borough_Name,comfort,firm_count,population,population_density,employment_rate,mean_house_price,total_space,residence_space_rate,public_building_space,green_space_rate,empty_space_rate,residence_house_count,own_house_rate,rent_rate,mean_commuting_distacne,mean_income,mean_assets,nor_railway,nor_safety
E09000001,City of London,City of London,,,74,,,559837,31514.8,7.6,37.5,4.8,12.2,44,0.425997719,0.574002281,,72392.86292,,1,0.68961382
E05000026,Abbey,Barking and Dagenham,,,129,,,172656,12789.7,11.6,8.7,19.8,14.7,46,0.337926509,0.662073491,,13948.86159,,0.058823529,0.907392363
E05000027,Alibon,Barking and Dagenham,,,105,,,162656,13608.1,11.3,2.7,22.9,4.8,40,0.465625787,0.534374213,,14023.02732,,0.058823529,0.953643674
E05000028,Becontree,Barking and Dagenham,,,116,,,182533,12841.4,15.2,3.4,5.9,5.4,43,0.489361702,0.510638298,,13892.38185,,0,0.949887214
E05000029,Chadwell Heath,Barking and Dagenham,,,101,,,190375,33804.2,5.3,1.7,64.3,4.2,39,0.544901065,0.455098935,,15249.59596,,0,0.950580807
E05000030,Eastbrook,Barking and Dagenham,,,106,,,192068,34541.2,6.2,4.8,45.8,9.1,39,0.680730641,0.319269359,,15718.56535,,0.058823529,0.962256765
E05000031,Eastbury,Barking and Dagenham,,,117,,,176951,14453.1,12.1,3.9,15.8,8.5,43,0.447799625,0.552200375,,13556.36767,,0,0.958813047
E05000032,Gascoigne,Barking and Dagenham,,,126,,,151068,11339.2,10.8,9.5,19.6,18.1,46,0.265446717,0.734553283,,12478.89889,,0,0.937998306
E05000033,Goresbrook,Barking and Dagenham,,,114,,,156383,12799.6,12.8,2.5,19.1,4.6,42,0.459132907,0.540867093,,14017.41152,,0,0.957587656
E05000034,Heath,Barking and Dagenham,,,109,,,171274,20054.5,8,4.2,39.9,8.3,43,0.424368775,0.575631225,,14291.73613,,0,0.94782573
E05000035,Longbridge,Barking and Dagenham,,,116,,,249809,16401.2,13.8,2.5,22.4,6.5,37,0.703763441,0.296236559,,14956.85366,,0.058823529,0.960034861
E05000036,Mayesbrook,Barking and Dagenham,,,104,,,174293,18507.7,9,1.7,35.8,4.9,39,0.445574771,0.554425229,,13523.29209,,0.058823529,0.959322464
E05000037,Parsloes,Barking and Dagenham,,,99,,,160310,12432.8,12.7,2.4,20.4,4.2,38,0.486450934,0.513549066,,13830.18251,,0,0.961264557
E05000038,River,Barking and Dagenham,,,110,,,157974,35515.3,6,15.3,16.8,24.3,40,0.527336861,0.472663139,,13919.53332,,0,0.952733537
E05000039,Thames,Barking and Dagenham,,,108,,,169534,78835.5,3.2,9.4,41.6,21.2,40,0.372945638,0.627054362,,13525.00786,,0.058823529,0.933822682
E05000040,Valence,Barking and Dagenham,,,99,,,175004,12925.9,12.8,4.5,17.2,7.3,38,0.478717814,0.521282186,,14583.40137,,0,0.958451395
E05000041,Village,Barking and Dagenham,,,109,,,161101,21398.7,8.4,1.9,46.5,5.4,44,0.418494235,0.581505765,,14847.00451,,0,0.949321767
E05000042,Whalebone,Barking and Dagenham,,,107,,,190367,15540.8,12.4,8.7,16.9,12.2,40,0.64794762,0.35205238,,15990.90448,,0,0.956133605
E05000043,Brunswick Park,Barnet,,,165,,,343184,31737,10.3,3.2,27.9,7,61,0.768773725,0.231226275,,19707.67716,,0,0.971816027
E05000044,Burnt Oak,Barnet,,,183,,,219479,20640.7,10.8,3.8,24.7,7.8,64,0.409574468,0.590425532,,13571.2621,,0.058823529,0.967591599
E05000045,Childs Hill,Barnet,,,201,,,783573,30889,12.9,4.2,13.7,6.1,77,0.457064793,0.542935207,,20524.51024,,0,0.949476906
E05000046,Colindale,Barnet,,,172,,,231667,26418.1,8,10.2,31.8,15.7,63,0.383942766,0.616057234,,14733.00297,,0.058823529,0.9638566
E05000047,Coppetts,Barnet,,,173,,,343358,27203.5,10.9,3.6,32.3,7.6,69,0.574553828,0.425446172,,20619.41656,,0,0.960915373
E05000048,East Barnet,Barnet,,,162,,,329088,37521.5,9.4,2.2,35.8,4.8,65,0.686112387,0.313887613,,21476.8268,,0.117647059,0.970253867
E05000049,East Finchley,Barnet,,,161,,,420146,25239.6,10.3,3.5,39.5,4.9,66,0.509558934,0.490441066,,23018.28349,,0.058823529,0.967005057
E05000050,Edgware,Barnet,,,168,,,354105,55601.8,6.1,2.4,53.1,4.2,60,0.616117706,0.383882294,,18599.82189,,0.058823529,0.95404558
E05000051,Finchley Church End,Barnet,,,158,,,569412,27093.1,13.7,3.2,17,5.2,63,0.624940353,0.375059647,,24909.24832,,0,0.974234929
E05000052,Garden Suburb,Barnet,,,160,,,985132,47308.9,9.6,2.7,28,4.9,63,0.663003663,0.336996337,,30284.97186,,0.058823529,0.960180887
E05000053,Golders Green,Barnet,,,189,,,507186,29776.1,13.2,4.8,18.6,8.3,62,0.501462463,0.498537537,,18214.35805,,0.058823529,0.961567102
E05000054,Hale,Barnet,,,175,,,402147,54216.4,6.5,0.9,52.7,2.1,62,0.672756669,0.327243331,,18294.06857,,0.058823529,0.972434594
E05000055,Hendon,Barnet,,,185,,,423566,28399.1,11.7,5,21.8,7.3,70,0.494903087,0.505096913,,19840.12416,,0.058823529,0.963286079
E05000056,High Barnet,Barnet,,,154,,,408041,83090.2,5,1.7,61.8,3.2,65,0.709149327,0.290850673,,25899.80344,,0.058823529,0.958726055
E05000057,Mill Hill,Barnet,,,185,,,480997,93872.6,4.7,1.9,61.5,4.6,69,0.647563636,0.352436364,,21397.14409,,0.058823529,0.960708701
E05000058,Oakleigh,Barnet,,,159,,,425173,33169,11.3,2.2,17.8,4.7,62,0.710304601,0.289695399,,21823.85168,,0,0.969949047
E05000059,Totteridge,Barnet,,,152,,,596419,87676.4,4.5,1.3,63.1,2.7,58,0.674750602,0.325249398,,24647.70257,,0.117647059,0.975304942
E05000060,Underhill,Barnet,,,160,,,326225,45521,7.3,1.7,48.6,3.8,63,0.616909898,0.383090102,,19529.97747,,0,0.966426401
